#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.05662  0.00332 -0.00902      NaN  0.000000  0.000000  0.000000       NaN
   1.05886  0.00488 -0.01062      NaN  0.000000  0.000000  0.000000       NaN
   1.06123  0.00673 -0.01210      NaN  0.000000  0.000000  0.000000       NaN
   1.06376  0.00886 -0.01345      NaN  0.000000  0.000000  0.000000       NaN
   1.06647  0.01127 -0.01470      NaN  0.000000  0.000000  0.000000       NaN
   1.06940  0.01397 -0.01584      NaN  0.000000  0.000000  0.000000       NaN
   1.07261  0.01700 -0.01689      NaN  0.000000  0.000000  0.000000       NaN
   1.07613  0.02039 -0.01785      NaN  0.000000  0.000000  0.000000       NaN
   1.08005  0.02421 -0.01872      NaN  0.000000  0.000000  0.000000       NaN
   1.08445  0.02854 -0.01951      NaN  0.000000  0.000000  0.000000       NaN
   1.08945  0.03349 -0.02021      NaN  0.000000  0.000000  0.000000       NaN
   1.09517  0.03918 -0.02081      NaN  0.000000  0.000000  0.000000       NaN
   1.10179  0.04579 -0.02128      NaN  0.000000  0.000000  0.000000       NaN
   1.10951  0.05350 -0.02160      NaN  0.000000  0.000000  0.000000       NaN
   1.11852  0.06251 -0.02174      NaN  0.000000  0.000000  0.000000       NaN
   1.12897  0.07295 -0.02165      NaN  0.000000  0.000000  0.000000       NaN
   1.14089  0.08487 -0.02130      NaN  0.000000  0.000000  0.000000       NaN
   1.15420  0.09816 -0.02068      NaN  0.000000  0.000000  0.000000       NaN
   1.16866  0.11260 -0.01980      NaN  0.000000  0.000000  0.000000       NaN
   1.18402  0.12792 -0.01869      NaN  0.000000  0.000000  0.000000       NaN
   1.20004  0.14388 -0.01741      NaN  0.000000  0.000000  0.000000       NaN
   1.21654  0.16032 -0.01599      NaN  0.000000  0.000000  0.000000       NaN
   1.23337  0.17709 -0.01448      NaN  0.000000  0.000000  0.000000       NaN
   1.25043  0.19408 -0.01292      NaN  0.000000  0.000000  0.000000       NaN
   1.26759  0.21117 -0.01135      NaN  0.000000  0.000000  0.000000       NaN
   1.28473  0.22823 -0.00979      NaN  0.000000  0.000000  0.000000       NaN
   1.30179  0.24523 -0.00827      NaN  0.000000  0.000000  0.000000       NaN
   1.31877  0.26214 -0.00680      NaN  0.000000  0.000000  0.000000       NaN
   1.33566  0.27897 -0.00541      NaN  0.000000  0.000000  0.000000       NaN
   1.35247  0.29573 -0.00409      NaN  0.000000  0.000000  0.000000       NaN
   1.36921  0.31242 -0.00286      NaN  0.000000  0.000000  0.000000       NaN
   1.38589  0.32907 -0.00172      NaN  0.000000  0.000000  0.000000       NaN
   1.40252  0.34567 -0.00068      NaN  0.000000  0.000000  0.000000       NaN
   1.41913  0.36225  0.00026      NaN  0.000000  0.000000  0.000000       NaN
   1.43575  0.37884  0.00108      NaN  0.000000  0.000000  0.000000       NaN
   1.45245  0.39553  0.00180      NaN  0.000000  0.000000  0.000000       NaN
